Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Lat,Long,Type
Z005080,11/2/76,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005081,1/24/77,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005082,5/26/77,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005085,3/7/78,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005086,5/1/78,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005087,7/26/78,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005088,10/3/78,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005089,1/10/79,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005090,6/7/79,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005091,7/11/79,535,42,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005092,8/7/79,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005094,9/12/79,535,8,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005095,10/4/79,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005096,11/7/79,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005097,12/4/79,535,9,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005098,1/9/80,535,6,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005099,2/5/80,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005100,3/13/80,535,14,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005101,4/24/80,535,75,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005102,8/15/80,535,21,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005103,12/3/80,535,9,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005104,2/3/81,535,23,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005105,5/6/81,535,9,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005106,8/18/81,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005107,10/29/81,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005108,2/24/82,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005109,4/14/82,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005110,8/11/82,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005111,11/16/82,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005112,2/24/83,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005113,5/26/83,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005114,8/24/83,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005115,11/15/83,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005116,2/22/84,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005117,5/23/84,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005118,8/20/84,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005119,11/12/84,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005120,2/13/85,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005121,5/8/85,535,8,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005122,8/21/85,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005123,11/25/85,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005124,2/26/86,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005125,4/23/86,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005126,7/10/86,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005127,11/6/86,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005128,2/25/87,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005129,5/28/87,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005130,8/5/87,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005131,11/19/87,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005132,1/21/88,535,15,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005133,5/5/88,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005134,8/22/88,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005135,12/19/88,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005136,6/14/89,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005162,7/18/90,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005137,7/25/90,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005138,8/28/91,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
X000203,8/26/92,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
3111,8/24/93,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
4231,10/28/93,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
6505,1/24/94,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
6515,4/19/94,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
8805,8/10/94,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
9039,10/11/94,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
9855,2/22/95,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
9868,5/11/95,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
9890,8/8/95,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
9902,11/28/95,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
14375,1/24/96,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
15190,4/24/96,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
15204,7/16/96,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
15235,10/8/96,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
15247,12/10/96,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
17691,5/21/97,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
18750,7/28/97,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
18770,11/4/97,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
22604,1/12/98,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
22625,3/23/98,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
22641,6/4/98,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
24491,7/22/98,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
24517,11/18/98,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
25884,1/13/99,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
25915,5/17/99,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
27385,8/11/99,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR10884,9/18/01,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR10944,12/5/01,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
37959,2/13/02,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11037,3/19/02,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
37982,6/11/02,535,9,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11044,6/18/02,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
38016,11/12/02,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
38019,11/13/02,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
43075,4/8/03,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
43095,5/21/03,535,6,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
44618,7/14/03,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
44620,7/15/03,535,10,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11211,9/10/03,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11213,9/10/03,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
45527,10/27/03,535,6,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11219,12/8/03,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11221,12/8/03,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
45547,2/18/04,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11227,3/17/04,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11229,3/17/04,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
45564,5/24/04,535,9,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11235,6/16/04,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11237,6/16/04,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
45599,7/21/04,535,9,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11243,9/8/04,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11244,9/8/04,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
45618,11/22/04,535,6,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11251,12/8/04,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11252,12/8/04,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
48685,2/8/05,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11259,3/16/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11260,3/16/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
48704,4/28/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11266,6/22/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11267,6/22/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
48731,7/20/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11275,9/21/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
48756,11/14/05,535,5,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11554,12/14/05,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
53759,2/13/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11609,3/22/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
53786,5/31/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11620,6/21/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11621,6/21/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1000197,7/20/06,535,8,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11722,9/13/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11723,9/13/06,535,7,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1011389,10/5/06,535,13,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11766,12/12/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
RR11767,12/12/06,535,4,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005093,8/7/79,557,200,"OIL&GREASE,FREON EXTR-GRAV METH,BOT.DEPOS(MG/KG)",MG/KG,Sediment,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
15204,7/16/96,593,0.05,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
15235,10/8/96,593,0.05,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
17691,5/21/97,593,0.154,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
18750,7/28/97,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
18770,11/4/97,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
22604,1/12/98,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
22625,3/23/98,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
22641,6/4/98,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
24491,7/22/98,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
24517,11/18/98,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
25884,1/13/99,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
25915,5/17/99,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
27385,8/11/99,593,0.1,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
37959,2/13/02,593,0.05,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
37982,6/11/02,593,0.05,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
38016,11/12/02,593,0.05,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
38019,11/13/02,593,0.05,"NO2 PLUS NO3-N, TOTAL, CALCULATED VALUE (MG/L)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005001,10/8/69,610,0.28,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005028,1/26/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005034,9/6/72,610,0.2,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005037,12/5/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005040,3/27/73,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005043,6/6/73,610,0.3,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005046,9/11/73,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005047,10/23/73,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005050,2/13/74,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005051,4/17/74,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005057,11/12/74,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005059,1/14/75,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005064,6/12/75,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
