,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Lat,Long,Type
1171,Z005102,8/15/80,10,26.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1172,Z005103,12/3/80,10,11.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1173,Z005105,5/6/81,10,25.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1174,Z005106,8/18/81,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1175,Z005107,10/29/81,10,11,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1176,Z005109,4/14/82,10,17.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1177,Z005110,8/11/82,10,21,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1178,Z005111,11/16/82,10,2.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1179,Z005113,5/26/83,10,17.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1180,Z005114,8/24/83,10,33.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1181,Z005115,11/15/83,10,13.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1182,Z005117,5/23/84,10,27.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1183,Z005118,8/20/84,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1184,Z005119,11/12/84,10,13.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1185,Z005121,5/8/85,10,26,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1186,Z005122,8/21/85,10,27.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
