,Date,AQS_SITE_ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Type
65,01/09/1988,17-031-0022,1,48,ug/m3 SC,44.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
66,01/11/1988,17-031-0022,1,39,ug/m3 SC,36.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
67,01/12/1988,17-031-0022,1,43,ug/m3 SC,40.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
68,01/13/1988,17-031-0022,1,51,ug/m3 SC,47.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
69,01/14/1988,17-031-0022,1,46,ug/m3 SC,43.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
70,01/15/1988,17-031-0022,1,28,ug/m3 SC,26.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
71,01/16/1988,17-031-0022,1,37,ug/m3 SC,34.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
72,01/17/1988,17-031-0022,1,26,ug/m3 SC,24.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
73,01/19/1988,17-031-0022,1,39,ug/m3 SC,36.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
74,01/20/1988,17-031-0022,1,26,ug/m3 SC,24.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
75,01/21/1988,17-031-0022,1,20,ug/m3 SC,19.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
76,01/22/1988,17-031-0022,1,29,ug/m3 SC,27.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
77,01/23/1988,17-031-0022,1,23,ug/m3 SC,21.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
78,01/24/1988,17-031-0022,1,26,ug/m3 SC,24.0,1,100.0,81102,PM10 Total 0-10um STP,176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.687165,-87.539315,Air Data PM10
